Size	Latency (us)	np	Algorithm
8	0.43	3	broadcast_flat
16	0.43	3	broadcast_flat
32	0.47	3	broadcast_flat
64	0.46	3	broadcast_flat
128	0.59	3	broadcast_flat
256	0.62	3	broadcast_flat
512	0.65	3	broadcast_flat
1024	0.85	3	broadcast_flat
2048	1.07	3	broadcast_flat
4096	1.55	3	broadcast_flat
8192	2.28	3	broadcast_flat
16384	4.83	3	broadcast_flat
32768	8.09	3	broadcast_flat
65536	11.21	3	broadcast_flat
131072	18.06	3	broadcast_flat
262144	31.45	3	broadcast_flat
524288	59.40	3	broadcast_flat
1048576	126.10	3	broadcast_flat
2097152	226.69	3	broadcast_flat
4194304	441.13	3	broadcast_flat
1	0.20	4	broadcast_flat
16	0.50	4	broadcast_flat
32	0.54	4	broadcast_flat
64	0.55	4	broadcast_flat
128	0.75	4	broadcast_flat
256	0.76	4	broadcast_flat
512	0.83	4	broadcast_flat
1024	1.01	4	broadcast_flat
2048	1.24	4	broadcast_flat
4096	1.74	4	broadcast_flat
8192	2.45	4	broadcast_flat
16384	4.51	4	broadcast_flat
32768	7.38	4	broadcast_flat
65536	10.85	4	broadcast_flat
131072	17.76	4	broadcast_flat
262144	31.94	4	broadcast_flat
524288	61.41	4	broadcast_flat
1048576	122.64	4	broadcast_flat
2097152	253.81	4	broadcast_flat
4194304	588.89	4	broadcast_flat
1	0.21	4	broadcast_chain
16	0.38	4	broadcast_chain
32	0.39	4	broadcast_chain
64	0.40	4	broadcast_chain
128	0.52	4	broadcast_chain
256	0.53	4	broadcast_chain
512	0.56	4	broadcast_chain
1024	0.73	4	broadcast_chain
2048	0.89	4	broadcast_chain
4096	1.31	4	broadcast_chain
8192	1.95	4	broadcast_chain
16384	4.33	4	broadcast_chain
32768	7.21	4	broadcast_chain
65536	10.79	4	broadcast_chain
131072	17.89	4	broadcast_chain
262144	33.34	4	broadcast_chain
524288	61.59	4	broadcast_chain
1048576	130.67	4	broadcast_chain
2097152	248.14	4	broadcast_chain
4194304	572.77	4	broadcast_chain
8	0.41	3	broadcast_chain
16	0.43	3	broadcast_chain
32	0.44	3	broadcast_chain
64	0.44	3	broadcast_chain
128	0.55	3	broadcast_chain
256	0.58	3	broadcast_chain
512	0.63	3	broadcast_chain
