Size	Latency (us)	np	Algorithm
8	0.77	3	broadcast_flat
16	0.74	3	broadcast_flat
32	0.72	3	broadcast_flat
64	0.74	3	broadcast_flat
128	1.12	3	broadcast_flat
256	1.53	3	broadcast_flat
512	1.30	3	broadcast_flat
1024	1.58	3	broadcast_flat
2048	2.08	3	broadcast_flat
4096	2.96	3	broadcast_flat
8192	4.54	3	broadcast_flat
16384	6.49	3	broadcast_flat
32768	10.61	3	broadcast_flat
65536	15.10	3	broadcast_flat
131072	46.59	3	broadcast_flat
262144	38.15	3	broadcast_flat
524288	70.01	3	broadcast_flat
1048576	142.03	3	broadcast_flat
2097152	272.36	3	broadcast_flat
4194304	559.04	3	broadcast_flat
8	0.94	3	broadcast_chain
16	0.88	3	broadcast_chain
32	0.94	3	broadcast_chain
64	0.92	3	broadcast_chain
128	1.37	3	broadcast_chain
256	1.35	3	broadcast_chain
512	1.48	3	broadcast_chain
1024	1.78	3	broadcast_chain
2048	2.28	3	broadcast_chain
4096	3.08	3	broadcast_chain
8192	4.62	3	broadcast_chain
16384	6.75	3	broadcast_chain
32768	11.18	3	broadcast_chain
65536	15.85	3	broadcast_chain
131072	24.16	3	broadcast_chain
262144	38.28	3	broadcast_chain
524288	70.55	3	broadcast_chain
1048576	142.14	3	broadcast_chain
2097152	278.59	3	broadcast_chain
4194304	559.91	3	broadcast_chain
8	0.57	3	broadcast_binary_tree
16	0.56	3	broadcast_binary_tree
32	0.71	3	broadcast_binary_tree
64	0.71	3	broadcast_binary_tree
128	1.10	3	broadcast_binary_tree
256	1.14	3	broadcast_binary_tree
512	1.34	3	broadcast_binary_tree
1024	1.60	3	broadcast_binary_tree
2048	2.09	3	broadcast_binary_tree
4096	2.96	3	broadcast_binary_tree
8192	4.56	3	broadcast_binary_tree
16384	6.13	3	broadcast_binary_tree
32768	10.58	3	broadcast_binary_tree
65536	15.15	3	broadcast_binary_tree
131072	24.62	3	broadcast_binary_tree
262144	37.66	3	broadcast_binary_tree
524288	65.11	3	broadcast_binary_tree
1048576	131.19	3	broadcast_binary_tree
2097152	261.27	3	broadcast_binary_tree
4194304	520.18	3	broadcast_binary_tree
8	0.64	3	scatter_flat
16	0.63	3	scatter_flat
32	0.74	3	scatter_flat
64	0.72	3	scatter_flat
128	1.13	3	scatter_flat
256	1.16	3	scatter_flat
512	1.35	3	scatter_flat
1024	1.59	3	scatter_flat
2048	2.12	3	scatter_flat
4096	3.03	3	scatter_flat
8192	4.78	3	scatter_flat
16384	8.07	3	scatter_flat
32768	15.06	3	scatter_flat
65536	28.87	3	scatter_flat
131072	24.45	3	scatter_flat
262144	40.60	3	scatter_flat
524288	78.04	3	scatter_flat
1048576	196.79	3	scatter_flat
2097152	445.87	3	scatter_flat
4194304	959.56	3	scatter_flat
8	0.62	3	scatter_basic_linear
16	0.62	3	scatter_basic_linear
32	0.73	3	scatter_basic_linear
64	0.72	3	scatter_basic_linear
128	1.14	3	scatter_basic_linear
256	1.18	3	scatter_basic_linear
512	1.37	3	scatter_basic_linear
1024	1.60	3	scatter_basic_linear
2048	2.13	3	scatter_basic_linear
4096	3.04	3	scatter_basic_linear
8192	4.77	3	scatter_basic_linear
16384	8.12	3	scatter_basic_linear
32768	15.09	3	scatter_basic_linear
65536	28.86	3	scatter_basic_linear
131072	56.24	3	scatter_basic_linear
262144	40.27	3	scatter_basic_linear
524288	74.41	3	scatter_basic_linear
